name,model,year,km_driven,fuel,transmission,owner,mileage,engine,max_power,torque_val,seats,selling_price
hyundai,i10_era_1.1,2012,28000,3,1,5,19.81,1086.0,68.05,99.04,5.0,290000
maruti,omni_8_seater_bsiv,2017,32000,3,1,5,14.0,796.0,35.0,6.1,5.0,280000
maruti,wagon_r_lxi_lpg_bsiv,2010,44000,2,1,5,36.68,998.0,58.2,77.0,5.0,225000
volkswagen,polo_1.2_mpi_comfortline,2015,42000,3,1,5,16.47,1198.0,74.0,110.0,5.0,455000
hyundai,i10_magna_1.1l,2015,45000,3,1,4,19.81,1086.0,68.05,99.04,5.0,351000
volkswagen,vento_petrol_highline,2012,12000,3,1,4,15.04,1598.0,103.6,153.0,5.0,535000
maruti,zen_estilo_lxi_bsiii,2009,55500,3,1,5,18.2,998.0,67.1,90.0,5.0,175000
hyundai,i20_asta_optional_with_sunroof_1.2,2013,61500,3,1,5,18.5,1197.0,82.85,113.7,5.0,525000
maruti,swift_dzire_ldi,2016,150000,4,1,5,26.59,1248.0,74.0,190.0,5.0,600000
hyundai,xcent_1.2_kappa_sx_option_at,2016,72000,3,2,5,19.1,1197.0,82.0,114.0,5.0,565000
maruti,alto_lx_bsiii,2008,68000,3,1,3,19.7,796.0,46.3,62.0,5.0,120000
hyundai,i20_1.4_asta_option,2017,110000,4,1,5,22.54,1396.0,88.73,219.7,5.0,725000
maruti,wagon_r_vxi,2009,77000,3,1,4,21.79,998.0,67.05,90.0,5.0,185000
tata,manza_aura_(abs)_quadrajet,2010,100000,4,1,4,18.8,1248.0,90.0,200.0,5.0,200000
maruti,swift_vxi,2019,10000,3,1,5,21.21,1197.0,81.8,113.0,5.0,615000
maruti,eeco_7_seater_standard_bsiv,2016,100000,3,1,3,15.37,1196.0,73.0,101.0,7.0,270000
maruti,baleno_zeta_1.2,2018,35000,3,1,5,21.4,1197.0,83.1,115.0,5.0,610000
mahindra,scorpio_vlx_at_airbag_bsiv,2014,70000,4,2,4,11.79,2179.0,120.0,290.0,8.0,625000
ford,freestyle_titanium_petrol_bsiv,2020,5000,3,1,4,19.0,1194.0,94.68,120.0,5.0,400000
hyundai,verna_vtvt_1.6_sx,2017,37800,3,1,5,17.0,1591.0,121.3,151.0,5.0,866000
volkswagen,passat_1.8_tsi_mt,2010,114000,3,1,5,14.3,1798.0,160.0,250.0,5.0,700000
tata,indica_vista_aura_1.2_safire_(abs)_bs_iv,2010,48000,3,1,5,15.8,1172.0,65.0,96.0,5.0,300000
mahindra,xuv500_w11_option_awd,2019,32000,4,1,5,15.1,2179.0,155.0,360.0,7.0,1700000
tata,indigo_cs_ls_(tdi)_bs-iii,2016,100000,4,1,5,19.09,1405.0,69.01,135.0,5.0,375000
hyundai,verna_1.6_sx,2013,150000,4,1,4,22.32,1582.0,126.32,259.8,5.0,522000
hyundai,i20_magna_1.4_crdi_(diesel),2013,69000,4,1,5,21.9,1396.0,88.76,219.6,5.0,451999
toyota,corolla_altis_g,2009,100000,3,1,4,14.53,1798.0,138.1,173.0,5.0,300000
maruti,celerio_vxi,2020,13000,3,1,5,21.63,998.0,67.04,90.0,5.0,475000
maruti,vitara_brezza_zdi_plus_dual_tone,2016,60000,4,1,5,24.3,1248.0,88.5,200.0,5.0,780000
maruti,swift_dzire_vxi,2017,40000,3,1,5,20.85,1197.0,83.14,115.0,5.0,595000
maruti,wagon_r_vxi_bs_iv,2017,35000,3,1,5,20.51,998.0,67.04,90.0,5.0,440000
maruti,swift_vdi_bsiv,2010,120000,4,1,4,,,,,,300000
nissan,terrano_xl_85_ps,2014,70000,4,1,3,20.45,1461.0,83.8,200.0,5.0,400000
hyundai,creta_1.6_crdi_sx,2016,50000,4,1,5,19.67,1582.0,126.2,259.9,5.0,1140000
ford,ecosport_1.5_diesel_titanium_plus_bsiv,2017,76139,4,1,5,23.0,1498.0,98.96,205.0,5.0,850000
maruti,swift_dzire_vdi,2012,175000,4,1,2,19.3,1248.0,73.9,190.0,5.0,370000
renault,kwid_1.0,2018,25000,3,1,5,23.01,999.0,67.0,91.0,5.0,350000
maruti,celerio_vxi,2015,40000,3,1,4,23.1,998.0,67.04,90.0,5.0,360000
maruti,alto_lxi,2008,65000,3,1,2,19.7,796.0,46.3,62.0,5.0,105000
maruti,ertiga_vdi,2013,90000,4,1,4,20.77,1248.0,88.76,200.0,7.0,625000
hyundai,santro_xing_gls,2009,80000,3,1,4,17.92,1086.0,62.1,96.1,5.0,135000
maruti,ertiga_vdi,2015,110000,4,1,4,20.77,1248.0,88.76,200.0,7.0,700000
honda,amaze_s_i-vtec,2019,1303,3,1,5,17.8,1198.0,86.7,109.0,5.0,690000
audi,q5_35tdi_premium_plus,2018,31800,4,2,5,17.01,1968.0,188.0,400.0,5.0,3975000
lexus,es_300h,2019,20000,3,2,5,22.37,2487.0,214.56,202.0,5.0,5150000
jaguar,xf_2.0_diesel_portfolio,2017,45000,4,2,5,19.33,1999.0,177.0,430.0,5.0,3200000
jeep,wrangler_2016-2019_3.6_4x4,2017,17000,3,2,5,9.5,3604.0,280.0,347.0,5.0,4100000
land,rover_discovery_sport_td4_se,2019,21000,4,2,5,12.83,1999.0,148.31,382.0,7.0,4500000
mercedesbenz,s-class_s_350_cdi,2017,37000,4,2,5,13.5,2987.0,254.79,620.0,5.0,6000000
bmw,5_series_520d_sport_line,2018,29500,4,2,5,22.48,1995.0,187.74,400.0,5.0,3790000
bmw,x1_sdrive_20d_xline,2017,27000,4,2,5,,,,,,2150000
bmw,x4_m_sport_x_xdrive20d,2019,7500,4,2,5,16.78,1995.0,190.0,400.0,5.0,5800000
skoda,superb_lk_1.8_tsi_at,2018,50000,3,2,5,14.67,1798.0,177.46,250.0,5.0,1864999
mercedesbenz,e-class_e250_edition_e,2016,35000,4,2,5,15.0,2143.0,204.0,500.0,5.0,2700000
mg,hector_sharp_at_bsiv,2019,19000,3,2,5,13.96,1451.0,141.0,250.0,5.0,1750000
honda,city_i-vtec_cvt_vx,2017,41000,3,2,5,18.0,1497.0,117.6,145.0,5.0,795000
toyota,corolla_altis_1.8_g_cvt,2013,39000,3,2,5,14.28,1798.0,138.03,173.0,5.0,625000
volvo,xc40_d4_r-design,2018,22000,4,2,5,18.0,1969.0,190.0,400.0,5.0,3400000
audi,q7_35_tdi_quattro_premium,2015,53000,4,2,5,12.07,2967.0,241.4,550.0,7.0,2650000
maruti,ciaz_zdi,2015,40000,4,1,5,26.21,1248.0,88.5,200.0,5.0,535000
mercedesbenz,s-class_s_350_cdi,2017,47000,4,2,5,13.5,2987.0,282.0,490.0,5.0,5850000
bmw,5_series_523i,2010,72200,3,2,4,10.8,2497.0,150.0,250.0,5.0,975000
hyundai,elantra_s,2016,49900,3,1,5,16.3,1797.0,147.5,177.5,5.0,805000
jaguar,xe_2016-2019_2.0l_diesel_prestige,2017,9000,4,2,5,13.6,1999.0,177.0,430.0,5.0,2625000
tata,nexon_1.2_revotron_xz_plus_dual_tone,2018,11000,3,1,5,17.0,1198.0,108.5,170.0,5.0,811000
volkswagen,vento_petrol_highline,2011,49000,3,1,5,15.04,1598.0,103.6,153.0,5.0,375000
hyundai,elantra_sx,2012,95000,3,1,5,16.3,1797.0,147.5,177.5,5.0,550000
skoda,rapid_1.6_mpi_at_elegance,2016,11000,3,2,5,14.3,1598.0,103.5,153.0,5.0,645000
mercedesbenz,cla_200_cgi_sport,2018,18000,3,2,5,15.04,1991.0,183.0,300.0,5.0,2550000
maruti,ertiga_zxi,2014,46100,3,1,5,16.02,1373.0,93.7,130.0,7.0,599000
mercedesbenz,new_c-class_c_200_avantgarde,2017,16000,3,2,5,14.74,1991.0,181.04,300.0,5.0,2700000
honda,city_v_at,2017,18000,3,2,5,15.6,1497.0,116.3,146.0,5.0,875000
toyota,glanza_v_cvt,2019,9654,3,2,5,19.56,1197.0,81.8,113.0,5.0,894999
maruti,alto_k10_vxi,2011,11000,3,1,5,23.95,998.0,67.05,90.0,5.0,175000
maruti,swift_vxi,2012,24300,3,1,5,21.21,1197.0,81.8,113.0,5.0,340000
toyota,innova_crysta_2.8_zx_at_bsiv,2016,42163,4,2,4,11.36,2755.0,171.5,360.0,7.0,1525000
tata,nexon_1.5_revotorq_xza_plus_dualtone,2018,8000,4,2,5,21.5,1497.0,108.5,260.0,5.0,1025000
bmw,3_series_320d_luxury_line,2016,30000,4,2,5,22.69,1995.0,190.0,400.0,5.0,2150000
toyota,camry_2.5_hybrid,2016,41000,3,2,5,19.16,2494.0,157.7,213.0,5.0,1900000
bmw,5_series_520d_luxury_line,2016,12000,4,2,5,18.12,1995.0,190.0,400.0,5.0,2900000
toyota,camry_w4_(at),2009,71000,3,2,5,12.1,2362.0,164.7,224.0,5.0,450000
maruti,ertiga_bsiv_zxi_plus,2016,20000,3,1,5,17.5,1373.0,91.1,130.0,7.0,850000
volvo,xc90_t8_excellence_bsiv,2017,30000,3,2,5,42.0,1969.0,400.0,640.0,4.0,10000000
volkswagen,vento_diesel_highline,2011,100000,4,1,4,20.54,1598.0,103.6,250.0,5.0,300000
ford,figo_aspire_1.2_ti-vct_trend,2018,9500,3,1,5,18.16,1196.0,86.8,112.0,5.0,575000
ford,figo_diesel_lxi,2011,120000,4,1,5,20.0,1399.0,68.0,160.0,5.0,160000
maruti,swift_vxi_optional,2015,36600,3,1,5,20.4,1197.0,81.8,113.0,5.0,515000
maruti,wagon_r_amt_vxi,2015,50000,3,2,4,20.51,998.0,67.0,90.0,5.0,390000
hyundai,i20_magna_1.2,2016,14000,3,1,4,18.6,1197.0,81.83,114.7,5.0,550000
maruti,800_std,1999,40000,3,1,4,16.1,796.0,37.0,59.0,4.0,40000
maruti,ritz_vdi,2010,120000,4,1,5,21.1,1248.0,73.9,113.0,5.0,220000
hyundai,grand_i10_magna,2015,70000,3,1,5,18.9,1197.0,82.0,114.0,5.0,425000
volkswagen,ameo_1.0_mpi_trendline,2019,13000,3,1,5,19.44,999.0,75.0,95.0,5.0,480000
hyundai,grand_i10_sportz,2014,60000,3,1,4,18.9,1197.0,82.0,114.0,5.0,400000
maruti,swift_dzire_vxi,2014,35000,3,1,5,19.1,1197.0,85.8,114.0,5.0,487000
hyundai,xcent_1.2_kappa_s,2016,44000,3,1,4,19.1,1197.0,82.0,114.0,5.0,386000
honda,city_1.5_exi,2005,120000,3,1,4,13.0,1493.0,100.0,13.1,5.0,100000
toyota,corolla_altis_diesel_d4dg,2010,60000,4,1,5,21.43,1364.0,87.2,205.0,5.0,300000
daewoo,matiz_sd,2000,60000,3,1,5,18.5,796.0,53.0,71.0,5.0,100000
toyota,fortuner_4x2_manual,2014,30000,4,1,4,13.0,2982.0,168.5,343.0,7.0,1750000
mahindra,kuv_100_mfalcon_g80_k8,2016,15000,3,1,4,18.15,1198.0,82.0,115.0,6.0,450000
tata,zest_quadrajet_1.3_75ps_xm,2017,90000,4,1,5,22.95,1248.0,74.0,190.0,5.0,490000
honda,city_1.5_s_mt,2009,47000,3,1,4,17.0,1497.0,118.0,146.0,5.0,345000
maruti,zen_lxi,2005,90000,3,1,5,17.3,993.0,60.0,78.0,5.0,85000
maruti,wagon_r_vxi_bs_iv_with_abs,2010,120600,3,1,4,18.9,998.0,67.1,90.0,5.0,215000
hyundai,verna_transform_sx_vtvt,2010,100000,3,1,3,16.2,1599.0,103.2,14.9,5.0,320000
maruti,swift_dzire_vxi,2016,60000,3,1,4,20.85,1197.0,83.14,115.0,5.0,459999
hyundai,getz_gls,2005,86000,3,1,5,15.3,1341.0,83.0,115.0,5.0,65000
hyundai,elite_i20_sportz_plus_bsiv,2020,5000,3,1,5,18.6,1197.0,81.86,117.0,5.0,720000
maruti,ciaz_1.3_alpha,2017,37000,4,1,5,28.09,1248.0,88.5,200.0,5.0,800000
tata,tigor_1.2_revotron_xz,2019,14000,3,1,5,20.3,1199.0,84.0,114.0,5.0,520000
maruti,ertiga_vdi,2015,70000,4,1,5,20.77,1248.0,88.76,200.0,7.0,580000
toyota,etios_gd,2012,120000,4,1,5,,,,,,235000
honda,city_i_vtec_s,2015,50000,3,1,5,17.4,1497.0,117.3,145.0,5.0,600000
honda,brio_s_mt,2014,60000,3,1,4,19.4,1198.0,86.8,109.0,5.0,290000
maruti,wagon_r_lxi_cng,2016,50000,1,1,5,37.24,998.0,58.16,77.0,5.0,360000
maruti,swift_dzire_vxi,2017,50000,3,1,5,20.85,1197.0,83.14,115.0,5.0,550000
hyundai,i20_sportz_1.2,2013,70000,3,1,5,18.5,1197.0,82.85,113.7,5.0,375000
maruti,omni_e_8_str_std,2003,90000,3,1,4,,,,,,40000
maruti,wagon_r_amt_vxi,2018,35000,3,2,5,20.51,998.0,67.0,90.0,5.0,420000
maruti,swift_dzire_vxi_1.2,2017,20000,3,1,5,21.21,1197.0,81.8,113.0,5.0,550000
maruti,alto_800_lxi,2018,20000,3,1,5,24.7,796.0,47.3,69.0,5.0,270000
maruti,swift_dzire_amt_vxi_bs_iv,2018,7800,3,2,5,22.0,1197.0,81.8,113.0,5.0,700000
maruti,swift_vxi_optional,2017,20000,3,1,5,20.4,1197.0,81.8,113.0,5.0,500000
tata,hexa_xe,2019,15000,4,1,5,17.6,2179.0,147.94,320.0,7.0,1250000
hyundai,i20_magna,2013,31377,3,1,4,18.5,1197.0,82.85,113.7,5.0,320000
maruti,swift_dzire_vdi,2018,50000,4,1,5,28.4,1248.0,74.02,190.0,5.0,700000
maruti,wagon_r_vxi_bs_iv,2015,60000,3,1,5,20.51,998.0,67.04,90.0,5.0,290000
toyota,corolla_altis_1.8_vl_at,2012,100000,3,2,5,14.53,1794.0,138.1,173.0,5.0,550000
honda,brio_s_mt,2012,60000,3,1,5,19.4,1198.0,86.8,109.0,5.0,265000
maruti,baleno_alpha_automatic,2018,5000,3,2,5,21.4,1197.0,83.1,115.0,5.0,830000
tata,safari_storme_ex,2017,60000,4,1,5,14.1,2179.0,147.94,320.0,7.0,800000
maruti,alto_lxi,2011,25000,3,1,4,19.7,796.0,46.3,62.0,5.0,160000
renault,kwid_rxt,2018,30000,3,1,5,25.17,799.0,53.3,72.0,5.0,335000
datsun,go_t_bsiv,2017,80000,3,1,4,20.63,1198.0,67.0,104.0,5.0,329000
maruti,vitara_brezza_vdi_option,2017,75000,4,1,5,24.3,1248.0,88.5,200.0,5.0,775000
hyundai,xcent_1.2_vtvt_sx,2020,32000,3,1,5,20.14,1197.0,81.86,113.75,5.0,524000
maruti,alto_800_lxi,2015,40000,3,1,5,22.74,796.0,47.3,69.0,5.0,245000
hyundai,i20_1.2_sportz,2012,93000,3,1,4,17.0,1197.0,80.0,11.4,5.0,275000
tata,zest_revotron_1.2_xt,2018,60000,3,1,5,17.57,1193.0,88.7,140.0,5.0,520000
maruti,swift_1.3_vxi,2008,120000,3,1,4,,,,,,130000
nissan,sunny_xl,2014,37000,3,1,5,16.95,1498.0,97.7,134.0,5.0,550000
ford,ecosport_1.5_petrol_titanium_plus_bsiv,2018,15000,3,1,5,17.0,1497.0,121.36,150.0,5.0,910000
nissan,micra_active_xv_s,2015,80000,3,1,5,19.49,1198.0,67.04,104.0,5.0,300000
maruti,wagon_r_lxi_optional,2016,140000,3,1,5,20.51,998.0,67.04,90.0,5.0,350000
mahindra,ssangyong_rexton_rx5,2013,70000,4,1,5,12.83,2696.0,162.0,340.0,7.0,900000
mahindra,quanto_c8,2013,120000,4,1,4,17.21,1493.0,100.0,240.0,7.0,300000
maruti,ritz_ldi,2010,110000,4,1,4,21.1,1248.0,73.9,190.0,5.0,250000
hyundai,creta_1.6_crdi_sx_plus_dual_tone,2017,37000,4,1,5,19.67,1582.0,126.2,259.9,5.0,1100000
renault,kwid_rxt,2016,44000,3,1,5,25.17,799.0,53.3,72.0,5.0,270000
maruti,ertiga_vdi,2015,80000,4,1,5,20.77,1248.0,88.76,200.0,7.0,640000
mahindra,xuv500_w4,2015,125000,4,1,5,15.1,2179.0,140.0,330.0,7.0,650000
maruti,eeco_5_seater_ac_bsiv,2017,13500,3,1,5,15.37,1196.0,73.0,101.0,5.0,409999
hyundai,santro_xing_gls,2011,75000,3,1,5,17.92,1086.0,62.1,96.1,5.0,165000
hyundai,accent_gle,2007,120000,3,1,4,13.2,1495.0,94.0,12.5,5.0,80000
mahindra,xuv500_w8_2wd,2012,120000,4,1,5,15.1,2179.0,140.0,330.0,7.0,535000
toyota,innova_2.5_ev_(diesel)_ps_7_seater_bs_iv,2013,70000,4,1,5,12.99,2494.0,100.57,200.0,7.0,700000
maruti,swift_dzire_vdi,2013,70000,4,1,5,23.4,1248.0,74.0,190.0,5.0,550000
honda,amaze_s_cvt_petrol_bsiv,2019,15000,3,2,5,19.0,1199.0,88.76,110.0,5.0,680000
hyundai,i10_sportz_1.2,2009,53000,3,1,4,20.36,1197.0,78.9,111.8,5.0,200000
maruti,swift_dzire_vdi,2014,120000,4,1,4,23.4,1248.0,74.0,190.0,5.0,500000
maruti,ertiga_shvs_zdi_plus,2016,70000,4,1,5,24.52,1248.0,88.5,200.0,7.0,1000000
hyundai,getz_1.3_gvs,2008,120000,3,1,4,14.2,1341.0,82.9,11.8,5.0,110000
hyundai,i20_1.2_magna,2012,100000,3,1,4,18.5,1197.0,80.0,11.4,5.0,320000
tata,indica_dls,2005,110000,4,1,4,,,,,,75000
maruti,swift_lxi_optional-o,2015,100000,3,1,5,20.4,1197.0,83.11,113.0,5.0,350000
tata,indica_vista_tdi_ls,2013,162500,4,1,5,19.4,1405.0,70.0,135.4,5.0,170000
hyundai,i20_2015-2017_asta_1.4_crdi,2017,39000,4,1,5,22.54,1396.0,88.73,219.7,5.0,800000
maruti,ignis_1.3_alpha,2017,75000,4,1,5,26.8,1248.0,74.0,190.0,5.0,500000
tata,hexa_xta,2017,50000,4,2,5,17.6,2179.0,153.86,400.0,7.0,1380000
mahindra,marazzo_m6_8str,2019,40000,4,1,5,17.3,1497.0,121.0,300.0,8.0,1300000
hyundai,verna_1.6_crdi,2013,92500,4,1,5,22.32,1582.0,126.3,259.9,5.0,530000
maruti,swift_dzire_vdi,2012,158000,4,1,5,23.4,1248.0,74.0,190.0,5.0,360000
maruti,swift_dzire_ldi,2012,120000,4,1,5,19.3,1248.0,73.9,190.0,5.0,310000
honda,city_i_dtec_v,2015,50000,4,1,4,26.0,1498.0,98.6,200.0,5.0,725000
maruti,swift_dzire_zdi,2012,110000,4,1,5,19.3,1248.0,73.9,190.0,5.0,340000
hyundai,xcent_1.2_crdi_e,2017,2000,4,1,4,25.4,1186.0,73.97,190.25,5.0,550000
